epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,59675.6,1.31744,0.90394,1.0187,0.54127,0.47784,0.44922,0.23535,1.7783,1.76804,1.60999,0.0092476,0.0092476,0.0092476
78,60495.9,1.30787,0.89155,1.0087,0.52146,0.49696,0.44542,0.23762,1.78616,1.74863,1.60083,0.0092377,0.0092377,0.0092377
79,61313.1,1.33346,0.90763,1.01647,0.57687,0.45481,0.43815,0.23362,1.8251,1.80743,1.65731,0.0092278,0.0092278,0.0092278
80,62084.2,1.31984,0.90112,1.01733,0.51854,0.45637,0.4226,0.22415,1.77606,1.85632,1.60958,0.0092179,0.0092179,0.0092179
81,62844.9,1.31335,0.89912,1.01491,0.60433,0.45068,0.45699,0.2473,1.75217,1.77296,1.58132,0.009208,0.009208,0.009208
82,63669.7,1.31692,0.89689,1.01656,0.56576,0.46244,0.43504,0.23173,1.78454,1.79619,1.62598,0.0091981,0.0091981,0.0091981
83,64488.4,1.29774,0.87971,1.00638,0.59902,0.4667,0.45106,0.24191,1.78737,1.84103,1.61703,0.0091882,0.0091882,0.0091882
84,65363.1,1.30254,0.87953,1.00663,0.53292,0.48057,0.44816,0.23903,1.76821,1.81116,1.58568,0.0091783,0.0091783,0.0091783
85,66235.7,1.31806,0.8964,1.01123,0.52946,0.47602,0.43499,0.22559,1.84107,1.8578,1.66679,0.0091684,0.0091684,0.0091684
86,67089.2,1.30416,0.87942,1.00291,0.56227,0.47964,0.44977,0.23749,1.78948,1.8491,1.62282,0.0091585,0.0091585,0.0091585
87,67884.9,1.29657,0.88789,1.01264,0.56774,0.47479,0.45494,0.24427,1.79684,1.78804,1.62411,0.0091486,0.0091486,0.0091486
88,68680.1,1.28861,0.87424,1.00285,0.5371,0.4814,0.45026,0.2387,1.79169,1.8144,1.6187,0.0091387,0.0091387,0.0091387
89,69454.1,1.29602,0.87304,1.00473,0.53359,0.48229,0.45483,0.24044,1.78747,1.79717,1.61342,0.0091288,0.0091288,0.0091288
90,70183.8,1.2913,0.85847,0.9967,0.55438,0.45536,0.43972,0.23252,1.82143,1.80276,1.65136,0.0091189,0.0091189,0.0091189
91,70933.9,1.28227,0.85876,0.99739,0.56519,0.45763,0.45185,0.24237,1.78,1.78631,1.64382,0.009109,0.009109,0.009109
92,71701.8,1.28792,0.8646,0.99824,0.57241,0.47574,0.45131,0.24048,1.77408,1.81392,1.60995,0.0090991,0.0090991,0.0090991
93,72468.9,1.28229,0.85243,0.99625,0.55749,0.4684,0.4521,0.24198,1.77783,1.75015,1.62664,0.0090892,0.0090892,0.0090892
94,73235.6,1.27171,0.85627,1.00006,0.56683,0.44746,0.44379,0.23785,1.78246,1.8093,1.62411,0.0090793,0.0090793,0.0090793
95,74000.7,1.2738,0.85263,0.99475,0.5443,0.48391,0.44289,0.22948,1.80911,1.86115,1.67143,0.0090694,0.0090694,0.0090694
96,74788,1.27864,0.85537,0.99924,0.59336,0.47856,0.46669,0.23655,1.77325,1.7737,1.61363,0.0090595,0.0090595,0.0090595
97,75617.3,1.28694,0.86087,1.00127,0.55261,0.48108,0.46635,0.2474,1.7772,1.78275,1.60765,0.0090496,0.0090496,0.0090496
98,76371.9,1.27432,0.84711,0.99766,0.60457,0.45486,0.46685,0.24464,1.78174,1.82973,1.64022,0.0090397,0.0090397,0.0090397
99,77085.3,1.26739,0.84815,0.99627,0.52088,0.50337,0.45449,0.23539,1.83074,1.80721,1.65708,0.0090298,0.0090298,0.0090298
100,77849.8,1.25855,0.83708,0.99086,0.54676,0.48539,0.4442,0.23412,1.79172,1.79456,1.61891,0.0090199,0.0090199,0.0090199
101,78579.3,1.25776,0.82946,0.98691,0.55677,0.49363,0.46663,0.24694,1.77023,1.77027,1.60364,0.00901,0.00901,0.00901
